-498.771, 0, 1795
-498.771, -3.11732, 1795
-498.771, -6.23463, 1795
-496.27, -9.30506, 1786
-493.769, -12.3442, 1777
-491.268, -15.3521, 1768
-491.268, -18.4226, 1768
-491.268, -21.493, 1768
-488.767, -24.4384, 1759
-488.767, -27.4932, 1759
-486.267, -30.3917, 1750
-486.267, -33.4308, 1750
-483.766, -36.2824, 1741
-481.265, -39.1028, 1732
-481.265, -42.1107, 1732
-481.265, -45.1186, 1732
-478.764, -47.8764, 1723
-478.764, -50.8687, 1723
-478.764, -53.861, 1723
-476.541, -56.5893, 1715
-474.041, -59.2551, 1706
-474.041, -62.2178, 1706
-471.818, -64.8749, 1698
-471.818, -67.8238, 1698
-471.818, -70.7726, 1698
-469.595, -73.3742, 1690
-469.595, -76.3091, 1690
-469.595, -79.2441, 1690
-469.595, -82.1791, 1690
-467.094, -84.6608, 1681
-464.871, -87.1633, 1673
-464.871, -90.0687, 1673
-462.648, -92.5296, 1665
-462.648, -95.4212, 1665
-460.425, -97.8403, 1657
-460.425, -100.718, 1657
-460.425, -103.596, 1657
-458.202, -105.959, 1649
-455.979, -108.295, 1641
-455.979, -111.145, 1641
-455.979, -113.995, 1641
-454.034, -116.346, 1634
-454.034, -119.184, 1634
-454.034, -122.022, 1634
-451.811, -124.248, 1626
-451.811, -127.072, 1626
-449.588, -129.257, 1618
-449.588, -132.067, 1618
-447.643, -134.293, 1611
-447.643, -137.091, 1611
-445.42, -139.194, 1603
-445.42, -141.978, 1603
-445.42, -144.762, 1603
-443.475, -146.901, 1596
-443.475, -149.673, 1596
-441.53, -151.776, 1589
-441.53, -154.536, 1589
-439.307, -156.503, 1581
-439.307, -159.249, 1581
-437.362, -161.277, 1574
-437.362, -164.011, 1574
-435.417, -166.003, 1567
-435.417, -168.724, 1567
-435.417, -171.445, 1567
-435.417, -174.167, 1567
-431.527, -175.308, 1553
-431.527, -178.005, 1553
-431.527, -180.702, 1553
-429.582, -182.572, 1546
-429.582, -185.257, 1546
-427.637, -187.091, 1539
-427.637, -189.764, 1539
-427.637, -192.437, 1539
-425.692, -194.222, 1532
-425.692, -196.882, 1532
-423.747, -198.631, 1525
-423.747, -201.28, 1525
-422.079, -203.126, 1519
-422.079, -205.764, 1519
-420.134, -207.441, 1512
-420.134, -210.067, 1512
-418.467, -211.849, 1506
-418.467, -214.464, 1506
-416.522, -216.071, 1499
-416.522, -218.674, 1499
-414.577, -220.244, 1492
-414.577, -222.835, 1492
-414.577, -225.426, 1492
-412.91, -227.1, 1486
-412.91, -229.681, 1486
-412.91, -232.262, 1486
-411.243, -233.894, 1480
-409.298, -235.346, 1473
-409.298, -237.904, 1473
-407.63, -239.483, 1467
-407.63, -242.031, 1467
-407.63, -244.578, 1467
-405.963, -246.115, 1461
-405.963, -248.652, 1461
-404.296, -250.158, 1455
-402.629, -251.643, 1449
-402.629, -254.159, 1449
-400.962, -255.613, 1443
-400.962, -258.119, 1443
-400.962, -260.625, 1443
-399.294, -262.037, 1437
-399.294, -264.533, 1437
-399.294, -267.028, 1437
-397.627, -268.398, 1431
-397.627, -270.884, 1431
-395.96, -272.223, 1425
-394.293, -273.541, 1419
-394.293, -276.005, 1419
-394.293, -278.469, 1419
-392.626, -279.746, 1413
-392.626, -282.2, 1413
-392.626, -284.654, 1413
-390.958, -285.888, 1407
-390.958, -288.332, 1407
-389.569, -289.742, 1402
-389.569, -292.177, 1402
-387.902, -293.351, 1396
-387.902, -295.775, 1396
-386.235, -296.918, 1390
-386.235, -299.332, 1390
-386.235, -301.746, 1390
-386.235, -304.16, 1390
-384.845, -305.471, 1385
-383.178, -306.543, 1379
-383.178, -308.937, 1379
-381.789, -310.203, 1374
-381.789, -312.59, 1374
-380.122, -313.6, 1368
-380.122, -315.976, 1368
-378.732, -317.188, 1363
-378.732, -319.555, 1363
-377.343, -320.741, 1358
-377.343, -323.1, 1358
-375.676, -324.02, 1352
-375.676, -326.368, 1352
-375.676, -328.716, 1352
-375.676, -331.064, 1352
-374.286, -332.179, 1347
-374.286, -334.518, 1347
-374.286, -336.858, 1347
